fighter_name,Height,Weight,Reach,Stance,DOB,Affiliation,Born,Fighting out of
Khabib Nurmagomedov,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",American Kickboxing Academy,"Makhachkala, Russian SFSR, Soviet Union","San Jose, California"
Said Nurmagomedov,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",DagFighter,Russia,"Makhachkala, Russia"
Abubakar Nurmagomedov,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 13, 1989",,Russia,"Makhachkala, Russia"
Kennedy Nzechukwu,"6' 5""",205 lbs.,"83""",Southpaw,"Jun 13, 1992",Fortis MMA,"Imo State, Nigeria","Dallas, Texas"
Jake O'Brien,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1984",Integrated Fighting Academy,"Indianapolis, Indiana, United States","Indianapolis, Indiana"
Sean O'Connell,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 02, 1983",Jeremy Horn's Elite Performance,United States,"Salt Lake City, Utah"
Sean O'Malley,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",MMA Lab,"Helena, Montana","Scottsdale, Arizona"
Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987",Ignite Martial Arts Academy / Dunstandeathsquad,Australia,"Brisbane, Queensland"
Volkan Oezdemir,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",Fight Move Academy,"Fribourg, Switzerland","Fribourg, Switzerland"
Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989",Team Alpha Male,England,"Sunderland, England"
Yushin Okami,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981",Wajutsu Keishukai Tokyo,"Kanagawa, Japan","Kanagawa, Japan"
Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",RusFighters MMA,"Kharkiv, Ukraine","Moscow, Russia"
Michal Oleksiejczuk,"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995",Akademia Sportów Walki Wilanów,"Barki, Poland","Barki, Poland"
Rafaello Oliveira,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982",AMA Fight Club,"Recife, Pernambuco, Brazil","Whippany, New Jersey"
Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",Chute Boxe Diego Lima,"Guaruja, Sao Paulo, Brazil","Houston, Texas"
Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",ATS Team,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Daniel Omielanczuk,"6' 0""",247 lbs.,"74""",Southpaw,"Aug 31, 1982",WCA Fight Team,"Sokołów, Podlaski, Poland","Warsaw, Poland"
Michihiro Omigawa,"5' 6""",145 lbs.,"68""",Orthodox,"Dec 19, 1975",Neo Judo Academy Omigawa Dojo,"Ibaraki, Japan","Tokyo, Japan"
Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",Black House MMA,"Torrance, California","Torrance, California"
Tito Ortiz,"6' 3""",205 lbs.,"74""",Orthodox,"Jan 23, 1975",Team Punishment,"Huntington Beach, California, United States","Huntington Beach, California"
Dustin Ortiz,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988",Nashville MMA,"Goshen, Indiana, United States","Franklin, Tennessee"
Ode Osbourne,"5' 7""",135 lbs.,"73""",Southpaw,"Jan 09, 1992",Pura Vida BJJ/MMA,United States,"Waukesha, Wisconsin"
Nick Osipczak,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 30, 1984",Team Rough House,"London, England","Nottingham, England"
Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,"Feb 25, 1991",Jesus is Lord,United States,"Honolulu, Hawaii"
Zak Ottow,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986",Pura Vida BJJ/MMA,United States,"Milwaukee, Wisconsin"
Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",Elevation Fight Team,"Hounslow, England","Amsterdam, Netherlands"
Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",St Charles MMA,"Istanbul, Turkey","St. Charles, Missouri"
Nick Pace,"5' 7""",135 lbs.,"68""",Orthodox,"Apr 17, 1987",Tiger Schulmann's Mixed Martial Arts,"Brooklyn, New York, United States","Staten Island, New York"
Teemu Packalen,"6' 1""",155 lbs.,"75""",Orthodox,"May 22, 1987",Primus Fight Team,Finland,"Turku, Finland"
Damacio Page,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 30, 1982",Jackson Wink MMA,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Dustin Pague,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987",Disciple MMA,"Harrisburg, Pennsylvania, United States","Dulles, Virginia"
Raulian Paiva,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 17, 1995",Academia Ronildo Nobre,Brazil,"Santana, Amapa, Brazil"
Fredson Paixao,"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979",Syndicate MMA,"Rio de Janeiro, Brazil","Las Vegas, Nevada"
Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983",Team Curran MMA,"Warsaw, Poland","Wonder Lake, Illinois"
Soa Palelei,"6' 4""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",Team Hulk,"Newcastle, New South Wales, Australia","Perth, Western Australia, Australia"
Rousimar Palhares,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",Team Nogueira,"Dores do Indaiá, Minas Gerais, Brazil","Rio de Janeiro, Brazil"
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",American Top Team,"Rio de Janeiro, Brazil","Arraial do Cabo, Rio de Janeiro, Brazil"
Jared Papazian,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 01, 1988",Gracie Barra Encino,"West Hills, California, United States","Burbank, California"
Karo Parisyan,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",Hayastan MMA,"Yerevan, Armenia","North Hollywood, California"
Junyong Park,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",Korean Top Team,South Korea,South Korea
Norman Parke,"5' 11""",155 lbs.,"70""",Southpaw,"Dec 22, 1986",Next Generation I.M.M.A,Northern Ireland,"Bushmills, Northern Ireland"
Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",Mississauga Elite Training Centre,"Mississauga, Ontario, Canada","Toronto, Ontario"
Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",XGym,Brazil,"Manaus, Amazonas, Brazil"
Sergei Pavlovich,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",Eagles MMA Academy,Russia,"Moscow, Russia"
Pawel Pawlak,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 08, 1989",Shark Top Team Łódź,"Łódź, Poland","Łódź, Poland"
Jonathan Pearce,"6' 0""",155 lbs.,"71""",Switch,"May 01, 1992",MMA Lab,"Johnson City, Tennessee",Tennessee
Ross Pearson,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",Alliance MMA,"Sunderland, Tyne and Wear, United Kingdom","Sydney, New South Wales, Australia"
Carlo Pedersoli Jr.,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993",Aurora Mixed Martial Arts,"Miami, Florida","Rome, Italy"
Tyson Pedro,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",Lions High Performance Centre,"Sydney, New South Wales, Australia","Gold Coast, Queensland, Australia"
Kurt Pellegrino,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",Pellegrino Mixed Martial Arts,"Point Pleasant, New Jersey, United States","Point Pleasant, New Jersey"
Julianna Pena,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",Sikjitsu,United States,"Spokane, Washington"
Luis Pena,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993",American Kickboxing Academy,"Naples, Italy","Gilroy, California "
Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",Straight Blast Gym Ireland,"Boston, Massachusetts, United States","Dublin, Ireland"
BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978",Jackson Wink MMA,"Kailua, Hawaii, United States","Hilo, Hawaii"
Jessica Penne,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 30, 1983",Alliance MMA,United States,"Laguna Hills, California"
Raquel Pennington,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",Altitude MMA,United States,"Colorado Springs, Colorado"
Godofredo Pepey,"5' 7""",145 lbs.,"73""",Orthodox,"Jul 02, 1987",Evolução Thai MMA,"Fortaleza, Ceara, Brazil","Curitiba, Parana, Brazil"
Robert Peralta,"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",Xplode MMA,"San Diego, California, United States","Escondido, California"
Viviane Pereira,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",Dragon Kombat,"Tauá, Ceará, Brazil","Fortaleza, Ceará, Brazil"
Michel Pereira,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 06, 1993",Scorpion Fighting System,"Maraba, Para, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Erik Perez,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",,"Monterrey, Mexico","Albuquerque, New Mexico"
Alejandro Perez,"5' 6""",145 lbs.,"67""",Orthodox,"Sep 02, 1989",Entram Gym,"Aguascalientes, Mexico","Aguascalientes, Mexico"
Frankie Perez,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989",Ricardo Almeida Jiu Jitsu,"Wallington, New Jersey","Howell, New Jersey"
Alex Perez,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",Team Oyama,"Hanford, California, United States","Lemoore, California"
Markus Perez,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",American Top Team,Brazil,"Sao Paulo, Sao Paulo, Brazil"
Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",Team Perosh Mixed Martial Arts,"Sydney, New South Wales, Australia","Sydney, New South Wales, Australia"
Mike Perry,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",UFC Gym Winter Springs,"Flint, Michigan","Orlando, Florida"
Raphael Pessoa,"6' 3""",262 lbs.,"78""",Orthodox,"Mar 09, 1989",Top Brother MMA,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Viktor Pesta,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 15, 1990",Penta Gym,"Příbram, Czech Republic","Prague, Czech Republic"
Steven Peterson,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",Fortis MMA,"Rodondo Beach, California, United States","McKinney, Texas"
Seth Petruzelli,"6' 0""",205 lbs.,"76""",Orthodox,"Dec 03, 1979",The Jungle MMA & Fitness,"Cape Coral, Florida, United States","Orlando, Florida"
Anthony Pettis,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",Roufusport MMA Academy,"Milwaukee, Wisconsin, United States","Milwaukee, Wisconsin"
Sergio Pettis,"5' 6""",125 lbs.,"69""",Orthodox,"Aug 18, 1993",Roufusport MMA Academy,"Milwaukee, Wisconsin","Milwaukee, Wisconsin"
Forrest Petz,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975",Strong Style Fight Team,"Cleveland, Ohio, United States","Cleveland, Ohio"
Cody Pfister,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",Nick's Fight Club,United States,"Amarillo, Texas"
Nam Phan,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",Paraestra Hachioji,"Fountain Valley, California, United States","Little Saigon, California"
Constantinos Philippou,"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",Bellmore Kickboxing MMA,"Limassol, Cyprus","Long Island, New York"
Aaron Phillips,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 05, 1989",Headkicks MMA,United States,"Lafayette, Louisiana"
Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",Warrior Camp MMA,"Omak, Washington","Spokane, Washington"
John Phillips,"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",Straight Blast Gym Ireland,"Swansea, Wales","Swansea, Wales"
Kyler Phillips,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995",MMA Lab,"Torrance, California","Phoenix, Arizona"
Vinc Pichel,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",Big John McCarthy's Ultimate Training Academy,"Lancaster, California","Simi Valley, California"
Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",American Top Team,"East London, England","Coconut Creek, Florida"
Oskar Piechota,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",Piranha Grappling Team,Poland,"Gdańsk, Poland"
Mike Pierce,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",Sports Lab,"Portland, Oregon, United States","Portland, Oregon"
Sean Pierson,"6' 0""",170 lbs.,"76""",Southpaw,"Mar 10, 1976",Grant's MMA,"Scarborough, Canada","Toronto, Canada"
Domingo Pilarte,"6' 0""",135 lbs.,"73""",Southpaw,"Jan 05, 1990",Revolution Dojo,United States,"Houston, Texas"
Daniel Pineda,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",4oz. Fight Club,"Dallas, Texas, United States","Houston, Texas"
Liu Pingyuan,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",Enbo Gedou,"Jiaozuo, Henan, China","Henan, China"
Maki Pitolo,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990",West Oahu MMA,United States,Hawaii
Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",American Top Team,"Lafayette, Louisiana, United States","Coconut Creek, Florida"
Igor Pokrajac,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 02, 1979",American Top Team Zagreb,Croatia,"Zagreb, Croatia"
Santiago Ponzinibbio,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",American Top Team,Argentina,"La Plata, Argentina"
Grigory Popov,"5' 7""",135 lbs.,"68""",Switch,"Apr 18, 1984",Tiger Muay Thai,"Russia, Sakha","Yakutsk, Russia"
Parker Porter,"6' 0""",265 lbs.,"75""",Orthodox,"Apr 22, 1985",Underdog Mixed Martial Arts,United States,"New Britain, Connecticut"
Callan Potter,"6' 0""",170 lbs.,"72""",Orthodox,"Jun 09, 1984",Renegade MMA,"Riddells Creek, Victoria, Australia","Melbourne, Victoria, Australia"
Ruan Potts,"6' 2""",247 lbs.,"75""",Orthodox,"Feb 23, 1978",Team CIT,South Africa,"Silverton, Pretoria, South Africa"
Devin Powell,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",Nostos MMA,United States,"South Berwick, Maine"
Marcin Prachnio,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988",Tatsujin Dojo Deventer,Poland,"Amsterdam, Netherlands"
Wagner Prado,"6' 0""",205 lbs.,"74""",Southpaw,"Dec 30, 1986",Team Nogueira,"Campinas, Sao Paulo, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Carlo Prater,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981",Metro Fight Club,"Sao Paulo, Brazil","Brasilia, Brazil"
Michel Prazeres,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",Frankiko Team / Trator Team,"Belem, Para, Brazil","Belem, Para, Brazil"
Kyle Prepolec,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 30, 1989",Maximum Training Centre,"Windsor, Ontario, Canada","Windsor, Ontario"
Niko Price,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",Syndicate Boxing Club,United States,"Cape Coral, Florida"
Jiri Prochazka,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",Jetsaam Gym Brno,"Hosteradice, Czech Republic","Brno, Czech Republic"
Lara Procopio,"5' 4""",135 lbs.,"67""",Orthodox,"Nov 14, 1995",Nova União,"Belo Horizonte, Minas Gerais, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Joe Proctor,"5' 10""",155 lbs.,"72""",Orthodox,"Aug 10, 1985",Lauzon Mixed Martial Arts,"Quincy, Massachusetts, United States","Bridgewater, Massachusetts"
Lucie Pudilova,"5' 8""",125 lbs.,"67""",Orthodox,"Jun 13, 1994",KBC Příbram,"Příbram, Czech Republic","Příbram, Czech Republic"
Claudio Puelles,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",Pitbull Martial Arts Center,"Lima, Peru","Lima, Peru"
Jens Pulver,"5' 7""",145 lbs.,"70""",Southpaw,"Dec 06, 1974",Team Curran MMA,"Sunnyside, Washington, United States","Nampa, Idaho"
CM Punk,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 26, 1978",Roufusport MMA Academy,"Chicago, Illinois","Chicago, Illinois"
Mike Pyle,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",Xtreme Couture,"Dresden, Tennessee, United States","Las Vegas, Nevada"
Billy Quarantillo,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 08, 1988",,"Ransomville, New York, United States","Tampa, Florida"
Nate Quarry,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",Team Quest Portland,United States,"Gresham, Oregon"
Michel Quinones,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984",Team Wolf Pack,"Queens, New York, United States","Coral Gables, Florida"
Jose Quinonez,"5' 8""",135 lbs.,"69""",Southpaw,"Jul 28, 1990",Alliance MMA,"Tlaltenango, Zacatecas, Mexico","San Diego, California"
Ricky Rainey,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983",Gym-O,United States,"Charlotte, North Carolina"
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",Gym 23,Austria,"Vienna, Austria"
Ricardo Ramos,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",Team Alpha Male,"Campinas, São Paulo, Brazil","Campinas, São Paulo, Brazil"
Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",Top Brother MMA,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989",Gamebred Academy,"Launceston, Tasmania","Brisbane, Queensland"
Stevie Ray,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990",Higher Level Martial Arts,"Fife, Scotland","Glasgow, Scotland"
Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985",Fortis MMA,"Minneapolis, Minnesota","Arlington, Texas"
Wilson Reis,"5' 4""",125 lbs.,"65""",Southpaw,"Jan 06, 1985",Daddis Mixed Martial Arts Academy,"Sao Paulo, Sao Paulo, Brazil","Philadelphia, Pennsylvania"
Goran Reljic,"6' 3""",205 lbs.,"81""",Southpaw,"Mar 20, 1984",Ultra Fight Club,"Zadar, Croatia","Zagreb, Croatia"
Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986",Alliance MMA,United States,"Pawhuska, Oklahoma"
Marion Reneau,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 20, 1977",Team Rhino Elite,"Tulare, California, United States","Visalia, California"
Marco Polo Reyes,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 07, 1984",BULLS Combat Team,Mexico,"Tepic, Nayarit, Mexico"
Dominick Reyes,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",,"Hesperia, California",California
Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986",Cage Combat Academy,California,"Victorville, California"
Mike Rhodes,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 04, 1989",Roufusport MMA Academy,"Waterloo, Iowa","Milwuakee, Wisconsin"
Amanda Ribas,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 26, 1993",Ribas Family,"Varginha, Minas Gerais, Brazil",Brazil
Mike Ricci,"6' 0""",155 lbs.,"76""",Southpaw,"Mar 18, 1986",Tristar Gym,"Montreal, Quebec, Canada","Montreal, Quebec"
Brad Riddell,"5' 7""",155 lbs.,"71""",Orthodox,"Sep 30, 1991",City Kickboxing,New Zealand,"Phuket, Thailand"
Matthew Riddle,"6' 1""",170 lbs.,"76""",Southpaw,"Jan 14, 1986",Throwdown Training Center,"Allentown, Pennsylvania, United States","Del Rio, Texas"
Joe Riggs,"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982",,"Sanford, Maine, United States","Phoenix, Arizona"
Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980",AMC Pankration,"Tell City, Indiana, United States","Albuquerque, New Mexico"
Jordan Rinaldi,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 25, 1987",Team ROC,"New York, United States","North Carolina, United States"
Nick Ring,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 10, 1979",,"Cedar Falls, Iowa, United States","Calgary, Alberta"
Mike Rio,"5' 10""",155 lbs.,"70""",Orthodox,"Jul 06, 1981",Zen Jiu-Jitsu,"Miami, Florida, United States","Miami, Florida"
Diego Rivas,"5' 8""",145 lbs.,"69""",Orthodox,"Nov 11, 1991",Kings MMA,Chile,"Cholchol, Chile"
Jorge Rivera,"6' 1""",185 lbs.,"73""",Orthodox,"Feb 28, 1972",Sityodtong Boston,"Framingham, Massachusetts, United States","Milford, Massachusetts"
Francisco Rivera,"5' 8""",135 lbs.,"70""",Orthodox,"Oct 08, 1981",CSW Training Center,"Whittier, California, United States","Buena Park, California"
Jimmie Rivera,"5' 4""",145 lbs.,"68""",Orthodox,"Jun 29, 1989",Tiger Schulmann's Mixed Martial Arts,United States,New Jersey
Irwin Rivera,"5' 6""",135 lbs.,"67""",Southpaw,"Feb 14, 1989",Blackzilians,"Nezahualcóyotl, Mexico","Boca Raton, Florida, United States"
Jerome Rivera,"5' 10""",135 lbs.,"72""",Southpaw,"Apr 22, 1995",Luttrell/Yee MMA & Fitness,"Santa Fe, New Mexico","Santa Fe, New Mexico"
Karl Roberson,"6' 1""",185 lbs.,"74""",Southpaw,"Oct 04, 1990",Killer B Combat Sports,United States,"Neptune, New Jersey"
Daniel Roberts,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 05, 1980",Ghost Dog Boxing,"Rockford, Illinois","Tulsa, Oklahoma"
Danny Roberts,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",Blackzilians,"London, England","Bristol, England"
Roosevelt Roberts,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",,"Miami, Florida","Lathrop, California"
Kenny Robertson,"5' 10""",170 lbs.,"74""",Orthodox,"Feb 14, 1984",Central Illinois Combat Club,"East Peoria, Illinois, United States","Spring Bay, Illinois"
Gillian Robertson,"5' 5""",125 lbs.,"63""",Orthodox,"May 17, 1995",American Top Team,"Niagara Falls, Ontario, Canada","Port Saint Lucie, Florida"
Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982",MMA Lab,United States,"Denver, Colorado"
Vagner Rocha,"5' 10""",155 lbs.,"73""",Orthodox,"Jun 06, 1982",Team Popovitch Academy,"Rio de Janeiro, Rio de Janeiro, Brazil","Pembroke Pines, Florida"
Carlos Eduardo Rocha,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 12, 1981",Darcio Lira Jiu-Jitsu,"Cabedelo, Paraiba, Brazil","Los Angeles, California"
Luke Rockhold,"6' 3""",205 lbs.,"77""",Southpaw,"Oct 17, 1984",American Kickboxing Academy,"Santa Cruz, California, United States","San Jose, California"
Yair Rodriguez,"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",VFS Academy,"Parral, Chihuahua, Mexico","Chicago, Illinois"
Mike Rodriguez,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",Lauzon Mixed Martial Arts,"Boston, Massachusetts, United States",Massachusetts
Marina Rodriguez,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",Thai Brasil Floripa,"Bage, Rio Grande do Sul, Brazil","Florianopolis, Santa Catarina, Brazil"
Daniel Rodriguez,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",Tapout LA,California,"Alhambra, California"
Ray Rodriguez,"5' 7""",135 lbs.,"71""",Orthodox,"Dec 10, 1987",Brazilian Top Team Texas,United States,"San Antonio, Texas"
Marcos Rogerio de Lima,"6' 1""",253 lbs.,"75""",Orthodox,"Jun 25, 1985",American Top Team,"Sao Paulo, Sao Paulo, Brazil","Ribeirao Pires, Sao Paulo, Brazil"
Max Rohskopf,"6' 1""",155 lbs.,"71""",Orthodox,"Sep 27, 1994",Zenith MMA,"Killbuck, Ohio","Las Vegas, Nevada"
Shane Roller,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 14, 1979",Team Takedown,"Bixby, Oklahoma, United States","Tulsa, Oklahoma"
Alexandr Romanov,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",Lion Comrat,"Comrat, Moldova","Comrat, Moldova"
Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978",Advanced Martial Arts,"Jersey City, New Jersey, United States","North Brunswick, New Jersey"
Yoel Romero,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",American Top Team,"Pinar Del Rio, Cuba","Coconut Creek, Florida"
Mara Romero Borella,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986",American Top Team,"Ponte dell'Olio, Piacenza, Italy","Polpenazze del Garda, Piacenza, Italy"
Jesse Ronson,"5' 10""",170 lbs.,"70""",Southpaw,"Dec 24, 1985",Adrenaline MMA Training & Fitness,"London, Ontario, Canada","London, Ontario"
George Roop,"6' 1""",135 lbs.,"72""",Orthodox,"Nov 10, 1981",Apex MMA,"Tucson, Arizona, United States","Tucson, Arizona"
Aaron Rosa,"6' 4""",205 lbs.,"77""",Orthodox,"May 28, 1983",Pete Spratt Muay Thai,"Del Rio, Texas, United States","San Antonio, Texas"
Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986",American Top Team,"Peabody, Massachusetts","Boynton Beach, Florida"
Karol Rosa,"5' 5""",135 lbs.,"67""",Orthodox,"Dec 30, 1994",Paraná Vale Tudo,Brazil,"Vila Velha, Espirito Santo, Brazil"
Jared Rosholt,"6' 2""",265 lbs.,"75""",Orthodox,"Aug 04, 1986",Team Takedown,United States,"Sandpoint, Idaho"
Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981",Rothwell MMA,"Kenosha, Wisconsin, United States","Milwaukee, Wisconsin"
Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",,"Los Angeles, California","Las Vegas, Nevada"
Ronda Rousey,"5' 7""",135 lbs.,"66""",Orthodox,"Feb 01, 1987",Hayastan MMA,"Riverside County, California, United States","Venice, California"
Brandon Royval,"5' 9""",125 lbs.,"68""",Southpaw,"Aug 16, 1992",factoryX Muay Thai,"Denver, Colorado","Littleton, Colorado"
Jairzinho Rozenstruik,"6' 4""",242 lbs.,"78""",Orthodox,"Mar 17, 1988",Team Bigi Boy,"Paramaribo, Suriname","Paramaribo, Suriname"
